Show/Hide,Cpd,Label,Name,Formula,Score,Mass,Avg Mass,Std Dev,Reference mass,Mass (MFG),Relative Mass Difference (MFG),Mass Difference (MFG),Base Peak,Precursor,Ion Polarity,Max Z,Min Z,Start,RT,End,Reference Retention Time,RT Diff,Height,Width,Area,Volume,Vol %,Ions,Z Count,Saturated,ID Source,ID Techniques Applied,Score (MFG),Score (DB),Hit Count,FV,Score (Lib),Relative Reference Mass difference,Reference Mass difference,Group,Cpds/Group,File,Notes,Algorithm,Flags (Tgt),Library,Uncertainty,Significance,Quality Score,FIs Conf.,FIs Conf. %,FIs Eval.,Source,Flag Severity (Tgt),PCombinedIDResults1_ID,ExternalKey,ID,m/z,Height,RT,RT Diff,SNR,FV,CE,Coelution Score,Flags(FIs),Confirm. Flag,Compound Name
TRUE,17,Cpd 17: 4.272,,,,388.1133,388.3115,,,,,,389.1206,389.1206,Positive,1,1,4.196,4.272,4.445,,,11747,0.079,,66541,0.06,3,1,,,,,,,,,,,10,12,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,18,Cpd 18: 4.273,,,,662.0701,662.6709,,,,,,332.0423,332.0423,Positive,2,2,4.229,4.273,4.312,,,746,0.056,,3808,0,3,1,,,,,,,,,,,10,12,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,19,Cpd 19: 4.274,,,,418.0785,418.4195,,,,,,419.0857,419.0857,Positive,1,1,4.213,4.274,4.379,,,12241,0.075,,76650,0.07,4,1,,,,,,,,,,,10,12,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,20,Cpd 20: 4.274,,,,386.1296,386.3602,0.002,,,,,387.1373,387.1373,Positive,1,1,4.213,4.274,4.362,,,1574,0.093,,15643,0.01,4,1,,,,,,,,,,,10,12,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.1,,,,,,,,,,,,,,,,,,,
TRUE,21,Cpd 21: 4.275,,,,304.0705,304.2428,0.0028,,,,,305.0799,305.0799,Positive,1,1,4.196,4.275,4.362,,,900,0.071,,16452,0.02,4,1,,,,,,,,,,,10,12,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,22,Cpd 22: 4.276,,,,235.9956,236.1158,,,,,,237.0029,237.0029,Positive,1,1,4.18,4.276,4.395,,,2026,0.113,,15069,0.01,2,1,,,,,,,,,,,10,12,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,23,Cpd 23: 4.277,,,,204.0591,204.1921,0.0012,,,,,205.0664,205.0664,Positive,2,1,4.196,4.277,4.461,,,14904,0.102,,104784,0.1,4,2,,,,,,,,,,,10,12,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.2,,,,,,,,,,,,,,,,,,,
TRUE,24,Cpd 24: 4.277,,,,500.0731,500.454,,,,,,501.0804,501.0804,Positive,1,1,4.213,4.277,4.395,,,2084,0.092,,15561,0.01,3,1,,,,,,,,,,,10,12,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,25,Cpd 25: 4.278,,,,408.066,408.3044,,,,,,409.0733,409.0733,Positive,1,1,4.229,4.278,4.362,,,1001,0.074,,5286,0,2,1,,,,,,,,,,,11,1,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,26,Cpd 26: 4.412,,,,299.9341,300.1461,,,,,,300.9414,300.9414,Positive,1,1,4.345,4.412,4.445,,,963,0.05,,2580,0,2,1,,,,,,,,,,,12,1,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,27,Cpd 27: 4.443,,,,496.0207,496.2023,,,,,,497.028,497.028,Positive,1,1,4.379,4.443,4.461,,,1745,0.051,,6487,0.01,2,1,,,,,,,,,,,13,1,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,28,Cpd 28: 4.452,,,,232.0582,232.1936,,,,,,233.0655,233.0655,Positive,1,1,4.345,4.452,4.528,,,25543,0.103,,191642,0.18,3,1,,,,,,,,,,,14,1,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.2,,,,,,,,,,,,,,,,,,,
TRUE,29,Cpd 29: 4.464,,,,507.0769,507.438,,,,,,508.0842,508.0842,Positive,1,1,4.379,4.464,4.511,,,609,0.08,,3937,0,2,1,,,,,,,,,,,15,2,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,30,Cpd 30: 4.467,,,,572.0731,572.3402,,,,,,573.0804,573.0804,Positive,1,1,4.379,4.467,4.528,,,12138,0.096,,98246,0.09,3,1,,,,,,,,,,,15,2,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,31,Cpd 31: 4.475,,,,1053.97,1054.9372,,,,,,527.9923,527.9923,Positive,2,2,4.428,4.475,4.544,,,526,0.07,,4989,0,3,1,,,,,,,,,,,16,2,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
TRUE,32,Cpd 32: 4.477,,,,299.9634,300.6127,,,,,,300.9707,300.9707,Positive,1,1,4.345,4.477,4.544,,,3385,0.104,,33777,0.03,4,1,,,,,,,,,,,16,2,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,100,,,,,,,,,,,,,,,,,,,
Show/Hide,Cpd,Label,Name,Formula,Score,Mass,Avg Mass,Std Dev,Reference mass,Mass (MFG),Relative Mass Difference (MFG),Mass Difference (MFG),Base Peak,Precursor,Ion Polarity,Max Z,Min Z,Start,RT,End,Reference Retention Time,RT Diff,Height,Width,Area,Volume,Vol %,Ions,Z Count,Saturated,ID Source,ID Techniques Applied,Score (MFG),Score (DB),Hit Count,FV,Score (Lib),Relative Reference Mass difference,Reference Mass difference,Group,Cpds/Group,File,Notes,Algorithm,Flags (Tgt),Library,Uncertainty,Significance,Quality Score,FIs Conf.,FIs Conf. %,FIs Eval.,Source,Flag Severity (Tgt),PCombinedIDResults2_ID,ExternalKey,ID,m/z,Height,RT,RT Diff,SNR,FV,CE,Coelution Score,Flags(FIs),Confirm. Flag,Compound Name
TRUE,33,Cpd 1: 0.259,,,,444.128052,444.5201909,,,,,,369.1016127,369.1016127,Positive,1.209677419,1.159274194,5.061133065,5.144203629,5.227092742,,,6891.395161,0.088893145,,52751.76411,0.047943548,3.193548387,1.050403226,,,,,,,,,,,15.61693548,7.139112903,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.81572581,,,,,,,,,,,,,,,,,,,
TRUE,34,Cpd 2: 1.674,,,,444.6219319,445.0180682,,,,,,366.6124231,366.6124231,Positive,1.214809384,1.165139296,5.139430902,5.223458394,5.306253666,,,7041.534641,0.089735154,,54189.32368,0.049296188,3.210960411,1.049670088,,,,,,,,,,,15.98955279,7.238453079,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.80929252,,,,,,,,,,,,,,,,,,,
TRUE,35,Cpd 3: 1.730,,,,445.1158117,445.5159455,,,,,,364.1232336,364.1232336,Positive,1.219941349,1.171004399,5.217728739,5.30271316,5.385414589,,,7191.67412,0.090577163,,55626.88325,0.050648827,3.228372434,1.04893695,,,,,,,,,,,16.36217009,7.337793255,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.80285924,,,,,,,,,,,,,,,,,,,
TRUE,36,Cpd 4: 1.783,,,,445.6096916,446.0138228,,,,,,361.634044,361.634044,Positive,1.225073314,1.176869501,5.296026576,5.381967925,5.464575513,,,7341.8136,0.091419172,,57064.44282,0.052001466,3.245784457,1.048203812,,,,,,,,,,,16.73478739,7.437133431,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.79642595,,,,,,,,,,,,,,,,,,,
TRUE,37,Cpd 5: 3.489,,,,446.1035714,446.5117001,,,,,,359.1448544,359.1448544,Positive,1.230205279,1.182734604,5.374324413,5.461222691,5.543736437,,,7491.953079,0.09226118,,58502.00238,0.053354106,3.263196481,1.047470674,,,,,,,,,,,17.10740469,7.536473607,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.78999267,,,,,,,,,,,,,,,,,,,
TRUE,38,Cpd 6: 3.562,,,,446.5974513,447.0095774,0.0020821,,,,,356.6556648,356.6556648,Positive,1.235337243,1.188599707,5.452622251,5.540477456,5.622897361,,,7642.092559,0.093103189,,59939.56195,0.054706745,3.280608504,1.046737537,,,,,,,,,,,17.48002199,7.635813783,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.78355938,,,,,,,,,,,,,,,,,,,
TRUE,39,Cpd 7: 3.575,,,,447.0913312,447.5074547,,,,,,354.1664753,354.1664753,Positive,1.240469208,1.194464809,5.530920088,5.619732221,5.702058284,,,7792.232038,0.093945198,,61377.12152,0.056059384,3.298020528,1.046004399,,,,,,,,,,,17.8526393,7.735153959,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.7771261,,,,,,,,,,,,,,,,,,,
TRUE,40,Cpd 8: 3.580,,,,447.585211,448.005332,0.002098329,,,,,351.6772857,351.6772857,Positive,1.245601173,1.200329912,5.609217925,5.698986987,5.781219208,,,7942.371518,0.094787207,,62814.68109,0.057412023,3.315432551,1.045271261,,,,,,,,,,,18.2252566,7.834494135,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.77069282,,,,,,,,,,,,,,,,,,,
TRUE,41,Cpd 9: 3.584,,,,448.0790909,448.5032093,,,,,,349.1880961,349.1880961,Positive,1.250733138,1.206195015,5.687515762,5.778241752,5.860380132,,,8092.510997,0.095629216,,64252.24065,0.058764663,3.332844575,1.044538123,,,,,,,,,,,18.5978739,7.933834311,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.76425953,,,,,,,,,,,,,,,,,,,
TRUE,42,Cpd 10: 4.262,,,,448.5729707,449.0010865,0.002114558,,,,,346.6989066,346.6989066,Positive,1.255865103,1.212060117,5.7658136,5.857496518,5.939541056,,,8242.650477,0.096471224,,65689.80022,0.060117302,3.350256598,1.043804985,,,,,,,,,,,18.9704912,8.033174487,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.75782625,,,,,,,,,,,,,,,,,,,
TRUE,43,Cpd 11: 4.262,,,,449.0668506,449.4989638,,,,,,344.209717,344.209717,Positive,1.260997067,1.21792522,5.844111437,5.936751283,6.018701979,,,8392.789956,0.097313233,,67127.35979,0.061469941,3.367668622,1.043071848,,,,,,,,,,,19.3431085,8.132514663,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.75139296,,,,,,,,,,,,,,,,,,,
TRUE,44,Cpd 12: 4.269,,,,449.5607304,449.9968411,,,,,,341.7205274,341.7205274,Positive,1.266129032,1.223790323,5.922409274,6.016006048,6.097862903,,,8542.929435,0.098155242,,68564.91935,0.062822581,3.385080645,1.04233871,,,,,,,,,,,19.71572581,8.231854839,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.74495968,,,,,,,,,,,,,,,,,,,
TRUE,45,Cpd 13: 4.271,,,,450.0546103,450.4947184,,,,,,339.2313378,339.2313378,Positive,1.271260997,1.229655425,6.000707111,6.095260814,6.177023827,,,8693.068915,0.098997251,,70002.47892,0.06417522,3.402492669,1.041605572,,,,,,,,,,,20.08834311,8.331195015,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.73852639,,,,,,,,,,,,,,,,,,,
TRUE,46,Cpd 14: 4.272,,,,450.5484902,450.9925957,,,,,,336.7421483,336.7421483,Positive,1.276392962,1.235520528,6.079004949,6.174515579,6.256184751,,,8843.208394,0.09983926,,71440.03849,0.065527859,3.419904692,1.040872434,,,,,,,,,,,20.46096041,8.430535191,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.73209311,,,,,,,,,,,,,,,,,,,
TRUE,47,Cpd 15: 4.273,,,,451.04237,451.490473,,,,,,334.2529587,334.2529587,Positive,1.281524927,1.24138563,6.157302786,6.253770345,6.335345674,,,8993.347874,0.100681268,,72877.59806,0.066880499,3.437316716,1.040139296,,,,,,,,,,,20.83357771,8.529875367,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.72565982,,,,,,,,,,,,,,,,,,,
TRUE,48,Cpd 16: 4.273,,,,451.5362499,451.9883503,,,,,,331.7637691,331.7637691,Positive,1.286656891,1.247250733,6.235600623,6.33302511,6.414506598,,,9143.487353,0.101523277,,74315.15762,0.068233138,3.454728739,1.039406158,,,,,,,,,,,21.20619501,8.629215543,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.71922654,,,,,,,,,,,,,,,,,,,
TRUE,49,Cpd 17: 4.273,,,,452.0301297,452.4862276,,,,,,329.2745796,329.2745796,Positive,1.291788856,1.253115836,6.31389846,6.412279875,6.493667522,,,9293.626833,0.102365286,,75752.71719,0.069585777,3.472140762,1.038673021,,,,,,,,,,,21.57881232,8.728555718,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.71279326,,,,,,,,,,,,,,,,,,,
TRUE,50,Cpd 18: 4.274,,,,452.5240096,452.9841049,,,,,,326.78539,326.78539,Positive,1.296920821,1.258980938,6.392196298,6.491534641,6.572828446,,,9443.766312,0.103207295,,77190.27676,0.070938416,3.489552786,1.037939883,,,,,,,,,,,21.95142962,8.827895894,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.70635997,,,,,,,,,,,,,,,,,,,
TRUE,51,Cpd 19: 4.275,,,,453.0178894,453.4819822,,,,,,324.2962004,324.2962004,Positive,1.302052786,1.264846041,6.470494135,6.570789406,6.65198937,,,9593.905792,0.104049304,,78627.83633,0.072291056,3.506964809,1.037206745,,,,,,,,,,,22.32404692,8.92723607,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.69992669,,,,,,,,,,,,,,,,,,,
TRUE,52,Cpd 20: 4.275,,,,453.5117693,453.9798595,0.002195704,,,,,321.8070109,321.8070109,Positive,1.307184751,1.270711144,6.548791972,6.650044172,6.731150293,,,9744.045271,0.104891312,,80065.39589,0.073643695,3.524376833,1.036473607,,,,,,,,,,,22.69666422,9.026576246,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.6934934,,,,,,,,,,,,,,,,,,,
TRUE,53,Cpd 21: 4.276,,,,454.0056492,454.4777367,0.002203819,,,,,319.3178213,319.3178213,Positive,1.312316716,1.276576246,6.627089809,6.729298937,6.810311217,,,9894.184751,0.105733321,,81502.95546,0.074996334,3.541788856,1.035740469,,,,,,,,,,,23.06928152,9.125916422,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.68706012,,,,,,,,,,,,,,,,,,,
TRUE,54,Cpd 22: 4.277,,,,454.499529,454.975614,,,,,,316.8286317,316.8286317,Positive,1.31744868,1.282441349,6.705387647,6.808553702,6.889472141,,,10044.32423,0.10657533,,82940.51503,0.076348974,3.55920088,1.035007331,,,,,,,,,,,23.44189883,9.225256598,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.68062683,,,,,,,,,,,,,,,,,,,
TRUE,55,Cpd 23: 4.278,,,,454.9934089,455.4734913,0.002220048,,,,,314.3394421,314.3394421,Positive,1.322580645,1.288306452,6.783685484,6.887808468,6.968633065,,,10194.46371,0.107417339,,84378.0746,0.077701613,3.576612903,1.034274194,,,,,,,,,,,23.81451613,9.324596774,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.67419355,,,,,,,,,,,,,,,,,,,
TRUE,56,Cpd 24: 4.278,,,,455.4872887,455.9713686,,,,,,311.8502526,311.8502526,Positive,1.32771261,1.294171554,6.861983321,6.967063233,7.047793988,,,10344.60319,0.108259348,,85815.63416,0.079054252,3.594024927,1.033541056,,,,,,,,,,,24.18713343,9.42393695,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.66776026,,,,,,,,,,,,,,,,,,,
TRUE,57,Cpd 25: 4.279,,,,455.9811686,456.4692459,,,,,,309.361063,309.361063,Positive,1.332844575,1.300036657,6.940281158,7.046317999,7.126954912,,,10494.74267,0.109101356,,87253.19373,0.080406891,3.61143695,1.032807918,,,,,,,,,,,24.55975073,9.523277126,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.66132698,,,,,,,,,,,,,,,,,,,
TRUE,58,Cpd 26: 4.413,,,,456.4750484,456.9671232,,,,,,306.8718734,306.8718734,Positive,1.33797654,1.30590176,7.018578996,7.125572764,7.206115836,,,10644.88215,0.109943365,,88690.7533,0.081759531,3.628848974,1.03207478,,,,,,,,,,,24.93236804,9.622617302,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.6548937,,,,,,,,,,,,,,,,,,,
TRUE,59,Cpd 27: 4.444,,,,456.9689283,457.4650005,,,,,,304.3826839,304.3826839,Positive,1.343108504,1.311766862,7.096876833,7.204827529,7.28527676,,,10795.02163,0.110785374,,90128.31287,0.08311217,3.646260997,1.031341642,,,,,,,,,,,25.30498534,9.721957478,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.64846041,,,,,,,,,,,,,,,,,,,
TRUE,60,Cpd 28: 4.453,,,,457.4628082,457.9628778,,,,,,301.8934943,301.8934943,Positive,1.348240469,1.317631965,7.17517467,7.284082295,7.364437683,,,10945.16111,0.111627383,,91565.87243,0.084464809,3.663673021,1.030608504,,,,,,,,,,,25.67760264,9.821297654,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.64202713,,,,,,,,,,,,,,,,,,,
TRUE,61,Cpd 29: 4.465,,,,457.956688,458.4607551,,,,,,299.4043047,299.4043047,Positive,1.353372434,1.323497067,7.253472507,7.36333706,7.443598607,,,11095.30059,0.112469391,,93003.432,0.085817449,3.681085044,1.029875367,,,,,,,,,,,26.05021994,9.92063783,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.63559384,,,,,,,,,,,,,,,,,,,
TRUE,62,Cpd 30: 4.468,,,,458.4505679,458.9586324,,,,,,296.9151151,296.9151151,Positive,1.358504399,1.32936217,7.331770345,7.442591826,7.522759531,,,11245.44007,0.1133114,,94440.99157,0.087170088,3.698497067,1.029142229,,,,,,,,,,,26.42283724,10.01997801,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.62916056,,,,,,,,,,,,,,,,,,,
TRUE,63,Cpd 31: 4.476,,,,458.9444477,459.4565097,,,,,,294.4259256,294.4259256,Positive,1.363636364,1.335227273,7.410068182,7.521846591,7.601920455,,,11395.57955,0.114153409,,95878.55114,0.088522727,3.715909091,1.028409091,,,,,,,,,,,26.79545455,10.11931818,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.62272727,,,,,,,,,,,,,,,,,,,
TRUE,64,Cpd 32: 4.478,,,,459.4383276,459.954387,,,,,,291.936736,291.936736,Positive,1.368768328,1.341092375,7.488366019,7.601101356,7.681081378,,,11545.71902,0.114995418,,97316.1107,0.089875367,3.733321114,1.027675953,,,,,,,,,,,27.16807185,10.21865836,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.61629399,,,,,,,,,,,,,,,,,,,
Show/Hide,Cpd,Label,Name,Formula,Score,Mass,Avg Mass,Std Dev,Reference mass,Mass (MFG),Relative Mass Difference (MFG),Mass Difference (MFG),Base Peak,Precursor,Ion Polarity,Max Z,Min Z,Start,RT,End,Reference Retention Time,RT Diff,Height,Width,Area,Volume,Vol %,Ions,Z Count,Saturated,ID Source,ID Techniques Applied,Score (MFG),Score (DB),Hit Count,FV,Score (Lib),Relative Reference Mass difference,Reference Mass difference,Group,Cpds/Group,File,Notes,Algorithm,Flags (Tgt),Library,Uncertainty,Significance,Quality Score,FIs Conf.,FIs Conf. %,FIs Eval.,Source,Flag Severity (Tgt),PCombinedIDResults3_ID,ExternalKey,ID,m/z,Height,RT,RT Diff,SNR,FV,CE,Coelution Score,Flags(FIs),Confirm. Flag,Compound Name
TRUE,65,Cpd 1: 0.260,,,,459.9322074,460.4522642,,,,,,289.4475464,289.4475464,Positive,1.373900293,1.346957478,7.566663856,7.680356122,7.760242302,,,11695.8585,0.115837427,,98753.67027,0.091228006,3.750733138,1.026942815,,,,,,,,,,,27.54068915,10.31799853,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.6098607,,,,,,,,,,,,,,,,,,,
TRUE,66,Cpd 2: 1.675,,,,460.4260873,460.9501415,,,,,,286.9583569,286.9583569,Positive,1.379032258,1.352822581,7.644961694,7.759610887,7.839403226,,,11845.99798,0.116679435,,100191.2298,0.092580645,3.768145161,1.026209677,,,,,,,,,,,27.91330645,10.41733871,sk_PE_75FA_75degrees_60 min_241111.d,,Find by Molecular Feature,,,,,99.60342742,,,,,,,,,,,,,,,,,,,
